ACCESSION	IRa_REPORTED	IRa_REPORTED_START	IRa_REPORTED_END	IRa_REPORTED_LENGTH	IRb_REPORTED	IRb_REPORTED_START	IRb_REPORTED_END	IRb_REPORTED_LENGTH
MG967470	yes	90038	115462	25425	yes	134847	160271	25425
KJ920235	yes	116396	137625	21230	yes	82540	103769	21230
MH394380	yes	117946	139740	21795	yes	83342	105136	21795
HQ325740	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG874806	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG664840	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY596172	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK434920	yes	133871	160225	26355	yes	88337	114691	26355
KY354216	yes	127307	164624	37318	yes	81850	119167	37318
KT168393	yes	114361	135372	21012	yes	80820	101831	21012
MG687295	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994835	yes	85494	112252	26759	yes	129138	155896	26759
MN307165	yes	138313	164638	26326	yes	92702	119027	26326
MG772639	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KJ920236	yes	117369	140097	22729	yes	82174	104902	22729
MH136807	yes	82430	108840	26411	yes	126374	152784	26411
HQ325741	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG664841	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY596173	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK434921	yes	133575	159926	26352	yes	88065	114416	26352
JQ754651	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY354217	yes	125725	162436	36712	yes	81388	118099	36712
KT168394	yes	115828	135452	19625	yes	83457	103081	19625
MG687296	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994836	yes	85385	112178	26794	yes	129211	156004	26794
MN729584	yes	125706	151679	25974	yes	82772	108745	25974
LC488797	yes	146767	150352	3586	yes	89624	93209	3586
KU240007	yes	135325	161150	25826	yes	90445	116270	25826
MF795140	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT934315	yes	133781	160543	26763	yes	88056	114819	26764
MK033506	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH394382	yes	117946	139740	21795	yes	83342	105136	21795
HQ325742	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG664842	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY596174	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK434922	yes	133718	160069	26352	yes	88185	114536	26352
MF784515	yes	130629	156585	25957	yes	86643	112599	25957
KT168395	yes	117280	138504	21225	yes	83376	104600	21225
MG687297	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY354218	yes	127436	164349	36914	yes	82564	119477	36914
MK994837	yes	85358	112123	26766	yes	129128	155893	26766
KU240008	yes	135328	161153	25826	yes	90458	116283	25826
MK033507	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH394383	yes	133934	160731	26798	yes	88461	115264	26804
HQ325743	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG664843	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY596175	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK434923	yes	133542	159888	26347	yes	88036	114382	26347
KT168396	yes	114253	135318	21066	yes	80577	101647	21071
MG733988	yes	132034	158275	26242	yes	87363	113604	26242
MG687298	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994838	yes	85315	112115	26801	yes	129115	155915	26801
KY354219	yes	130768	168823	38056	yes	84699	122754	38056
AM712908	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU240009	yes	135261	161077	25817	yes	90388	116204	25817
MK033508	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH394384	yes	134288	161085	26798	yes	88821	115618	26798
HQ325744	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG664844	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY596176	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK434924	yes	133717	160068	26352	yes	88185	114536	26352
KT630835	yes	126916	153503	26588	yes	82543	109130	26588
KX822773	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT168397	yes	112201	132895	20695	yes	79024	99718	20695
MG687299	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT737383	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH256801	yes	131295	157334	26040	yes	87240	113280	26041
MK994839	yes	85006	111748	26743	yes	128681	155423	26743
KY354220	yes	128285	165612	37328	yes	83009	120336	37328
MN480469	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU240010	yes	135374	161237	25864	yes	90462	116325	25864
LC218435	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH049735	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
HQ325745	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG664845	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY596177	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN200193	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT630834	yes	126452	152976	26525	yes	85403	111927	26525
KX822774	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG687300	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994840	yes	85619	112409	26791	yes	129368	156158	26791
KY354221	yes	129537	167217	37681	yes	83817	121497	37681
HQ234669	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
DQ386163	yes	129704	155296	25593	yes	85738	111330	25593
MG664846	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY596178	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN200194	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY562586	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX822775	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG687301	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994841	yes	85635	112394	26760	yes	129194	155953	26760
KY354222	yes	127021	163840	36820	yes	82444	119263	36820
KY707335	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH394387	yes	50	133762	133713	yes	88195	114550	26356
MH105772	yes	129161	153061	23901	yes	87227	111127	23901
MG869261	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG664847	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY596179	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN200195	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX822776	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY562587	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG687302	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK937914	yes	127650	154260	26611	yes	83280	109890	26611
MK994842	yes	85639	112392	26754	yes	129199	155952	26754
KF356392	yes	114340	135367	21028	yes	80617	101644	21028
KX279888	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY354223	yes	126331	162826	36496	yes	82097	118592	36496
KM233640	yes	131487	157885	26399	yes	131487	157885	26399
MH394388	yes	50	133763	133714	yes	88196	114551	26356
MF990205	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY596180	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG664848	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN200196	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX822777	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY985269	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY562588	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG687303	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994843	yes	83605	110344	26740	yes	126552	153291	26740
KU318111	yes	133099	159512	26414	yes	88098	114511	26414
KY354224	yes	129591	167088	37498	yes	84037	121534	37498
KY596181	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN200197	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX822778	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX790360	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY562589	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG687304	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994844	yes	85321	111864	26544	yes	128919	155462	26544
MN196294	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU059178	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY354225	yes	129574	167729	38156	yes	83496	121651	38156
MF358692	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN171377	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG589640	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY596182	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN200198	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX790361	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG687305	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY562590	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994845	yes	85629	112388	26760	yes	129198	155957	26760
MG520100	yes	134032	159914	25883	yes	88644	114527	25884
MN171378	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG585274	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY354226	yes	126814	163930	37117	yes	82094	119210	37117
KT168383	yes	113554	134565	21012	yes	80075	101086	21012
MG717286	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
CP018170	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG687306	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX790362	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994846	yes	85232	111986	26755	yes	128974	155728	26755
KU961859	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY562591	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX434807	yes	1	158362	25996	yes	87799	113793	25995
MF663009	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF167457	yes	133712	159734	26023	yes	89315	115337	26023
MN171379	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY354227	yes	126611	163459	36849	yes	81927	118775	36849
KT168384	yes	113959	135023	21065	yes	80317	101381	21065
KY596184	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG717287	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK533646	yes	1	153785	25994	yes	83932	109925	25994
KR232941	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG687307	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX790363	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994847	yes	85356	112158	26803	yes	128871	155673	26803
KY562592	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KJ485849	yes	129329	154841	25513	yes	86071	111583	25513
MK795965	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KR534612	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF167458	yes	134255	160288	26034	yes	89804	115837	26034
MN171380	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY241814	yes	126651	152224	25574	yes	83182	108756	25575
KY596185	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT168385	yes	113410	134435	21026	yes	79803	100828	21026
KY354228	yes	113465	134401	20937	yes	76101	97037	20937
KT222186	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KR232942	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG717288	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG687308	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX790364	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994848	yes	86054	112808	26755	yes	129666	156420	26755
KY562593	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
EU325680	yes	113660	134199	20540	yes	79452	100988	21537
MF167459	yes	134375	160406	26032	yes	89918	115949	26032
MN171381	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF953592	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY354229	yes	126368	162524	36157	yes	81740	117896	36157
KY247142	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT168386	yes	112891	133865	20975	yes	79310	100284	20975
KT962228	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT270357	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KR232943	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG717289	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK533648	yes	127486	153259	25774	yes	83983	109756	25774
MG687309	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KR363961	yes	127845	153854	26010	yes	84028	110037	26010
MK994849	yes	85766	112533	26768	yes	129532	156299	26768
KT595228	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU961862	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY562594	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
FJ261955	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF167460	yes	134252	160276	26025	yes	89830	115854	26025
MN171382	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK158079	yes	132514	158322	25809	yes	86434	112242	25809
KY247143	yes	129825	162708	32884	yes	84011	116894	32884
KT168387	yes	113740	134824	21085	yes	80239	101320	21082
KP176438	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
JN019792	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG976805	yes	129141	154996	25856	yes	85967	111405	25439
KR232944	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT270358	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT948988	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG687310	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK533649	yes	1	153816	25994	yes	83932	109925	25994
MK994850	yes	86449	113189	26741	yes	130050	156790	26741
KU961863	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH979332	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF167461	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN171383	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG267376	yes	127767	153255	25489	yes	83457	108945	25489
MK341566	yes	132707	158508	25802	yes	86596	112397	25802
KT168388	yes	114633	135617	20985	yes	80923	101907	20985
KU310654	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
JN019793	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG687311	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN055629	yes	128353	144358	16006	yes	99586	115591	16006
KT970611	yes	130470	157197	26728	yes	85656	112383	26728
MK994851	yes	85394	112128	26735	yes	128903	155637	26735
KU961864	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG678799	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG189543	yes	129934	155714	25781	yes	85403	111183	25781
KY562596	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF167462	yes	134236	160274	26039	yes	89808	115846	26039
MN171384	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG267377	yes	127769	153257	25489	yes	83459	108947	25489
KU318669	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY213888	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT168389	yes	114528	135097	20570	yes	81214	101783	20570
JN019794	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG687312	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994852	yes	85899	112674	26776	yes	129647	156422	26776
KY912026	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN158120	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KR230392	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT001509	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU522469	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF991115	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF167463	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN171385	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG678800	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG267378	yes	127755	153243	25489	yes	83432	108920	25489
LC492108	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KJ614396	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
EF115541	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KC534841	yes	117588	140344	22757	yes	82019	104775	22757
MN218778	yes	87063	113579	26517	yes	2	132110	132109
KT168390	yes	114887	135845	20959	yes	81352	102310	20959
JN019795	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG687313	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994853	yes	85768	112535	26768	yes	129536	156303	26768
KX377523	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY912027	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU522470	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
JF937588	yes	89652	116998	27347	yes	135815	163161	27347
MF991116	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF167464	yes	134314	160352	26039	yes	89872	115909	26038
MH394399	yes	127758	153752	25995	yes	83858	109852	25995
MN171386	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
JQ362483	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KR919606	yes	130467	157262	26796	yes	85853	112648	26796
MG267379	yes	127801	153292	25492	yes	83493	108984	25492
MG678801	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KJ614397	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
EF115542	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
JN019791	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK792865	yes	134706	160310	25605	yes	88822	114426	25605
MK331815	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG687314	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994854	yes	85520	112289	26770	yes	129099	155868	26770
BK010724	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KF976463	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX377524	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF167465	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN171387	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH394400	yes	127759	153722	25964	yes	83888	109851	25964
MG267380	yes	127791	153281	25491	yes	83485	108975	25491
KJ614398	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG678802	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
EF115543	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK792866	yes	134731	160322	25592	yes	88848	114439	25592
KT285537	yes	127673	151267	23595	yes	10932	85748	74817
MG880221	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG001339	yes	129745	160945	31201	yes	81586	112786	31201
MK994855	yes	85867	112607	26741	yes	129487	156227	26741
KY912029	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT220733	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KJ830774	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU522472	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH938366	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN171388	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH394401	yes	127758	153751	25994	yes	83858	109851	25994
MG267381	yes	127860	153337	25478	yes	83518	108995	25478
KJ614399	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KF986530	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH191379	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY244082	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK792867	yes	134827	160418	25592	yes	88944	114535	25592
MG678803	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994856	yes	85844	112586	26743	yes	129458	156200	26743
MG001340	yes	128274	159276	31003	yes	79500	110502	31003
KY912030	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT220734	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG722902	yes	132855	159136	26282	yes	87994	114275	26282
KU522473	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX592156	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN171389	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KP271241	yes	130808	156687	25880	yes	86681	112560	25880
MH394402	yes	127758	153751	25994	yes	83858	109851	25994
KJ614400	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG267382	yes	127698	153161	25464	yes	83415	108878	25464
MK792868	yes	134834	160427	25594	yes	88949	114542	25594
KY244083	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994857	yes	85717	112449	26733	yes	129434	156166	26733
KY912031	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG001341	yes	130882	162052	31171	yes	81924	113094	31171
MN171390	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH394403	yes	130572	156590	26019	yes	86323	112341	26019
KJ614401	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG267383	yes	127567	153075	25509	yes	83227	108684	25458
MG685915	yes	83050	105844	22795	no	n.a.	n.a.	n.a.
MK792869	yes	134838	160456	25619	yes	88933	114551	25619
KY000001	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY244084	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT591187	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994858	yes	84607	111358	26752	yes	128177	154928	26752
MN127986	yes	130305	156008	25704	yes	86774	112477	25704
KY912032	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
LC160130	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG383373	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN171391	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
GU592207	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH394404	yes	130572	156590	26019	yes	86323	112341	26019
MK002721	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK020147	yes	133713	160065	26353	yes	88167	114519	26353
KJ614402	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG267384	yes	128401	153946	25546	yes	83920	109552	25633
KY358226	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
LC339502	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU885923	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT028714	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY244085	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994859	yes	85685	112431	26747	yes	129370	156116	26747
MN267864	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF067398	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
LC160131	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN171392	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH394405	yes	130358	156402	26045	yes	86058	112102	26045
KX852398	yes	132455	158346	25892	yes	87668	113559	25892
MN309822	yes	112094	133331	21238	yes	78463	99700	21238
HM347959	yes	133744	160133	26390	yes	88877	115266	26390
MK333395	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY244086	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF035966	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KR136271	yes	135636	162426	26791	yes	90844	117634	26791
MN551236	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG739656	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH394406	yes	130572	156590	26019	yes	86323	112341	26019
KJ614404	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK096442	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN309823	yes	112580	133814	21235	yes	78911	100145	21235
KX852399	yes	134968	160798	25831	yes	90230	116060	25831
MN365275	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT734618	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994861	yes	85676	112442	26767	yes	129396	156162	26767
MF035967	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN551237	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK801140	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH394407	yes	130962	157029	26068	yes	86634	112701	26068
KJ614405	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KM491711	yes	132782	158459	25678	yes	87368	113045	25678
MK033518	yes	88927	123412	34486	yes	134293	168778	34486
MN309824	yes	112271	133508	21238	yes	78634	99871	21238
KX622799	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT588924	yes	130290	157008	26719	yes	85827	112547	26721
MK522402	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH220878	yes	71449	94549	23101	yes	100710	123810	23101
KT734619	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994862	yes	85149	111832	26684	yes	128281	154964	26684
MF035968	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN551238	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KT963087	yes	135230	161072	25843	yes	90342	116184	25843
KT962846	yes	127384	153311	25928	yes	83847	109774	25928
MK905238	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KJ614406	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH394408	yes	130961	157028	26068	yes	86633	112700	26068
MN309825	yes	112570	133804	21235	yes	78890	100124	21235
MK033519	yes	88993	123488	34496	yes	134409	168904	34496
MF957201	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
